type ,sex, age, ecactivity, worktype, commutetime, town,x,y
0,M,37.5,working,education,not commuting,529796,1051.25,5566.18
1,M,1.5,at home,undef,not commuting,529796,1051.13,5566.27
2,F,67.5,retired,undef,not commuting,529796,1051.17,5566.46
3,F,42.5,working,tradeandmoto,15 to 30 min,529796,1051.91,5566.48
4,F,42.5,working,publicsector,not commuting,529796,1051.55,5566.83
5,M,32.5,at home,undef,not commuting,529796,1051.69,5565.95
6,M,52.5,working,industry,not commuting,529796,1051.17,5566.23
7,M,72.5,working,adminetc,not commuting,529796,1051.57,5566.75
8,F,37.5,at home,undef,not commuting,529796,1051.95,5566.39
9,F,57.5,at home,undef,not commuting,529796,1051.47,5566.24
10,M,32.5,working,industry,not commuting,529796,1051.61,5566.19
11,F,57.5,working,industry,not commuting,529796,1052.02,5566.72
12,M,37.5,working,it,not commuting,529796,1051.61,5566.49
13,F,57.5,at home,undef,not commuting,529796,1051.57,5565.79
14,F,12.5,student,undef,not commuting,529796,1051.27,5566.11
15,M,32.5,working,it,15 to 30 min,529796,1051.7,5566.8
16,F,62.5,working,tradeandmoto,45 to 60 mins,529796,1051.68,5565.86
17,M,22.5,at home,undef,not commuting,529796,1051.29,5566.06
18,M,37.5,at home,undef,not commuting,529796,1051.65,5566.77
19,F,52.5,working,it,30 to 45 mins,529796,1052.17,5566.24
20,M,47.5,working,tradeandmoto,30 to 45 mins,529796,1051.97,5566.8
21,F,37.5,working,eatinghousing,not commuting,529796,1052,5566.5
22,F,67.5,retired,undef,not commuting,529796,1051.7,5566.46
23,M,67.5,retired,undef,not commuting,529796,1051.26,5566.84
24,M,37.5,working,it,not commuting,529796,1051.64,5566.61
25,F,32.5,at home,undef,not commuting,529796,1052,5566.13
26,F,27.5,working,tradeandmoto,45 to 60 mins,529796,1052.13,5565.71
27,F,47.5,working,agriculture,more than 90 mins,529796,1051.43,5565.96
28,M,32.5,working,construction,not commuting,529796,1052.11,5566.1
29,F,42.5,working,it,not commuting,529796,1051.88,5566.6
30,F,16.5,student,undef,not commuting,529796,1051.24,5566.26
31,M,52.5,working,eatinghousing,not commuting,529796,1052.16,5566.3
32,M,62.5,working,construction,not commuting,529796,1051.55,5566.16
33,F,72.5,retired,undef,not commuting,529796,1052,5566.78
34,M,27.5,working,eatinghousing,not commuting,529796,1051.92,5566.36
35,F,77.5,retired,undef,not commuting,529796,1051.89,5566.75
36,F,37.5,working,adminetc,less than 15min,529796,1051.66,5565.63
37,M,16.5,student,undef,45 to 60 mins,529796,1052.03,5565.61
38,F,8,student,undef,not commuting,529796,1051.1,5566.25
39,F,37.5,working,tradeandmoto,not commuting,529796,1051.36,5566.39
40,M,8,student,undef,not commuting,529796,1051.22,5566.57
41,M,77.5,retired,undef,not commuting,529796,1051.29,5565.97
42,F,16.5,working,health,not commuting,529796,1051.28,5566.65
43,F,42.5,working,industry,not commuting,529796,1051.13,5566.22
44,F,72.5,retired,undef,not commuting,529796,1051.86,5565.76
45,F,62.5,retired,undef,not commuting,529796,1051.41,5566.13
46,M,37.5,working,industry,not commuting,529796,1051.65,5566.43
47,F,77.5,retired,undef,not commuting,529796,1051.95,5566.65
48,F,47.5,working,banks,not commuting,529796,1052.05,5565.92
49,M,57.5,working,industry,not commuting,529796,1051.37,5566.42
50,F,22.5,working,adminetc,not commuting,529796,1051.92,5566.79
51,F,77.5,retired,undef,not commuting,529796,1051.74,5565.68
52,F,72.5,retired,undef,not commuting,529796,1052.02,5565.82
53,M,19,student,undef,not commuting,529796,1051.24,5565.8
54,F,37.5,at home,undef,not commuting,529796,1051.81,5566.55
55,M,37.5,working,construction,not commuting,529796,1051.54,5566.17
56,F,37.5,working,transportation,30 to 45 mins,529796,1051.75,5566.68
57,M,32.5,working,education,not commuting,529796,1051.09,5566.43
58,F,57.5,working,it,not commuting,529796,1051.52,5566.24
59,M,37.5,working,banks,not commuting,529796,1052.05,5566.25
60,M,72.5,retired,undef,not commuting,529796,1051.56,5565.89
61,F,19,working,eatinghousing,not commuting,529796,1051.13,5565.64
62,M,27.5,working,education,30 to 45 mins,529796,1052.3,5566.69
63,M,27.5,working,industry,not commuting,529796,1051.81,5566.78
64,F,32.5,working,tradeandmoto,not commuting,529796,1052.16,5566.45
65,M,3.5,at home,undef,not commuting,529796,1051.37,5566.34
66,F,67.5,retired,undef,not commuting,529796,1052.04,5565.7
67,F,3.5,at home,undef,not commuting,529796,1052.13,5566.36
68,F,8,student,undef,not commuting,529796,1051.29,5566.32
69,F,32.5,at home,undef,not commuting,529796,1051.92,5566.29
70,M,3.5,at home,undef,not commuting,529796,1051.64,5566.23
71,M,19,student,undef,30 to 45 mins,529796,1051.74,5565.65
72,F,32.5,working,banks,not commuting,529796,1052.05,5566.21
73,M,37.5,working,education,30 to 45 mins,529796,1051.44,5566.27
74,F,32.5,at home,undef,not commuting,529796,1051.38,5566.73
75,M,22.5,at home,undef,not commuting,529796,1052.16,5566.79
76,M,52.5,working,tradeandmoto,not commuting,529796,1051.22,5565.73
77,M,88,retired,undef,not commuting,529796,1051.34,5566.82
78,M,57.5,working,it,not commuting,529796,1051.29,5565.79
79,M,32.5,working,eatinghousing,not commuting,529796,1052.21,5566.73
80,F,72.5,retired,undef,not commuting,529796,1051.82,5566.62
81,F,37.5,working,publicsector,not commuting,529796,1052.19,5565.84
82,F,52.5,working,publicsector,not commuting,529796,1051.61,5566.45
83,M,16.5,student,undef,not commuting,529796,1051.56,5566.46
84,M,57.5,at home,undef,not commuting,529796,1052.31,5566.45
85,M,16.5,student,undef,30 to 45 mins,529796,1052.31,5566.45
86,M,16.5,student,undef,more than 90 mins,529796,1052.26,5565.79
87,M,32.5,working,eatinghousing,not commuting,529796,1052.26,5565.79
88,M,27.5,at home,undef,not commuting,529796,1051.55,5566.35
89,M,62.5,retired,undef,not commuting,529796,1051.55,5566.35
90,F,27.5,at home,undef,not commuting,529796,1051.56,5566.2
91,M,57.5,working,industry,not commuting,529796,1051.56,5566.2
92,F,67.5,retired,undef,not commuting,529796,1051.48,5566.36
93,M,42.5,working,it,not commuting,529796,1051.48,5566.36
94,F,52.5,working,tradeandmoto,15 to 30 min,529796,1051.28,5566.44
95,M,37.5,working,industry,not commuting,529796,1051.28,5566.44
96,M,57.5,working,transportation,45 to 60 mins,529796,1051.62,5565.97
97,M,8,student,undef,not commuting,529796,1051.62,5565.97
98,M,19,student,undef,45 to 60 mins,529796,1051.83,5566.68
99,M,1.5,at home,undef,not commuting,529796,1051.83,5566.68
100,F,37.5,at home,undef,not commuting,529796,1051.33,5566.26
101,F,32.5,at home,undef,not commuting,529796,1051.33,5566.26
102,M,67.5,retired,undef,not commuting,529796,1051.76,5566.01
103,M,22.5,at home,undef,not commuting,529796,1051.76,5566.01
104,F,67.5,retired,undef,not commuting,529796,1051.51,5566.27
105,F,19,working,industry,30 to 45 mins,529796,1051.51,5566.27
106,F,62.5,working,banks,not commuting,529796,1051.87,5566.44
107,M,3.5,at home,undef,not commuting,529796,1051.87,5566.44
108,M,12.5,student,undef,not commuting,529796,1052.16,5566.43
109,M,47.5,working,publicsector,not commuting,529796,1052.16,5566.43
110,M,67.5,retired,undef,not commuting,529796,1051.95,5566.31
111,M,42.5,working,transportation,45 to 60 mins,529796,1051.95,5566.31
112,F,77.5,retired,undef,not commuting,529796,1051.36,5566.58
113,M,22.5,at home,undef,not commuting,529796,1051.36,5566.58
114,F,32.5,working,publicsector,not commuting,529796,1051.72,5565.75
115,F,32.5,at home,undef,not commuting,529796,1051.72,5565.75
116,F,37.5,working,industry,not commuting,529796,1051.22,5566.05
117,F,32.5,at home,undef,not commuting,529796,1051.22,5566.05
118,F,52.5,working,industry,not commuting,529796,1051.52,5566.48
119,F,42.5,working,adminetc,not commuting,529796,1051.52,5566.48
120,F,52.5,working,tradeandmoto,45 to 60 mins,529796,1052.25,5565.94
121,F,22.5,working,industry,30 to 45 mins,529796,1052.25,5565.94
122,F,32.5,working,tradeandmoto,45 to 60 mins,529796,1051.11,5565.75
123,M,62.5,retired,undef,not commuting,529796,1051.11,5565.75
124,M,57.5,working,publicsector,30 to 45 mins,529796,1051.25,5566.78
125,M,67.5,retired,undef,not commuting,529796,1051.25,5566.78
126,F,47.5,working,tradeandmoto,not commuting,529796,1052.24,5566.53
127,M,22.5,working,adminetc,not commuting,529796,1052.24,5566.53
128,F,57.5,working,education,not commuting,529796,1051.38,5566.46
129,M,27.5,working,it,not commuting,529796,1051.38,5566.46
130,F,77.5,retired,undef,not commuting,529796,1052.1,5565.64
131,M,37.5,working,construction,not commuting,529796,1052.1,5565.64
132,F,57.5,at home,undef,not commuting,529796,1052.26,5566.24
133,F,22.5,at home,undef,not commuting,529796,1052.26,5566.24
134,F,12.5,student,undef,not commuting,529796,1051.12,5565.86
135,M,22.5,working,eatinghousing,30 to 45 mins,529796,1051.12,5565.86
136,F,67.5,retired,undef,not commuting,529796,1051.54,5565.98
137,F,52.5,working,banks,not commuting,529796,1051.54,5565.98
138,F,3.5,at home,undef,not commuting,529796,1051.59,5566.19
139,F,62.5,working,banks,not commuting,529796,1051.59,5566.19
140,M,42.5,working,adminetc,not commuting,529796,1051.13,5565.84
141,M,1.5,at home,undef,not commuting,529796,1051.13,5565.84
142,M,52.5,working,tradeandmoto,not commuting,529796,1051.52,5566.22
143,F,47.5,at home,undef,not commuting,529796,1051.52,5566.22
144,M,32.5,working,industry,not commuting,529796,1052.34,5566.04
145,F,22.5,at home,undef,not commuting,529796,1052.34,5566.04
146,F,12.5,student,undef,not commuting,529796,1051.27,5566.26
147,F,32.5,at home,undef,not commuting,529796,1051.27,5566.26
148,M,62.5,retired,undef,not commuting,529796,1051.5,5566.53
149,F,22.5,at home,undef,not commuting,529796,1051.5,5566.53
150,M,32.5,working,adminetc,not commuting,529796,1051.14,5566.03
151,M,16.5,student,undef,not commuting,529796,1051.14,5566.03
152,M,12.5,student,undef,not commuting,529796,1051.79,5566.27
153,M,22.5,at home,undef,not commuting,529796,1051.79,5566.27
154,F,67.5,retired,undef,not commuting,529796,1051.25,5565.68
155,F,12.5,student,undef,not commuting,529796,1051.25,5565.68
156,F,77.5,retired,undef,not commuting,529796,1052.15,5566.43
157,M,47.5,working,industry,45 to 60 mins,529796,1052.15,5566.43
158,M,32.5,working,banks,not commuting,529796,1051.44,5566.14
159,M,32.5,at home,undef,not commuting,529796,1051.44,5566.14
160,F,32.5,working,transportation,not commuting,529796,1051.09,5565.83
161,M,67.5,retired,undef,not commuting,529796,1051.09,5565.83
162,M,1.5,at home,undef,not commuting,529796,1052.19,5565.86
163,M,22.5,at home,undef,not commuting,529796,1052.19,5565.86
164,F,62.5,retired,undef,not commuting,529796,1051.4,5565.64
165,M,82.5,retired,undef,not commuting,529796,1051.4,5565.64
166,M,32.5,working,health,not commuting,529796,1051.78,5566.54
167,F,62.5,retired,undef,not commuting,529796,1051.78,5566.54
168,F,5.5,at home,undef,not commuting,529796,1052.14,5566.49
169,M,16.5,student,undef,not commuting,529796,1052.14,5566.49
170,M,27.5,working,industry,not commuting,529796,1052.04,5566.41
171,M,32.5,at home,undef,not commuting,529796,1052.04,5566.41
172,M,52.5,working,industry,not commuting,529796,1051.51,5566.05
173,M,88,retired,undef,not commuting,529796,1051.51,5566.05
174,M,19,student,undef,not commuting,529796,1051.91,5565.61
175,M,22.5,at home,undef,not commuting,529796,1051.91,5565.61
176,M,37.5,working,publicsector,not commuting,529796,1051.36,5565.92
177,F,62.5,retired,undef,not commuting,529796,1051.36,5565.92
178,F,42.5,working,it,not commuting,529796,1052.34,5566.07
179,F,57.5,at home,undef,not commuting,529796,1052.34,5566.07
180,F,57.5,working,adminetc,not commuting,529796,1051.45,5566.82
181,M,57.5,working,it,not commuting,529796,1051.45,5566.82
182,F,62.5,retired,undef,not commuting,529796,1052.06,5566.49
183,F,1.5,at home,undef,not commuting,529796,1052.06,5566.49
184,M,32.5,working,education,not commuting,529796,1052.02,5566.47
185,F,62.5,retired,undef,not commuting,529796,1052.02,5566.47
186,M,52.5,working,banks,30 to 45 mins,529796,1051.42,5565.9
187,F,8,student,undef,not commuting,529796,1051.42,5565.9
188,M,62.5,retired,undef,not commuting,529796,1052.02,5566.55
189,F,32.5,working,construction,45 to 60 mins,529796,1052.02,5566.55
190,M,62.5,retired,undef,not commuting,529796,1052.22,5566.82
191,F,22.5,working,industry,not commuting,529796,1052.22,5566.82
192,F,32.5,working,tradeandmoto,not commuting,529796,1051.58,5566.3
193,M,42.5,working,publicsector,not commuting,529796,1051.58,5566.3
194,M,57.5,working,construction,not commuting,529796,1051.9,5565.69
195,F,62.5,retired,undef,not commuting,529796,1051.9,5565.69
196,M,27.5,working,industry,not commuting,529796,1052.32,5566.32
197,M,57.5,working,construction,15 to 30 min,529796,1052.32,5566.32
198,F,3.5,at home,undef,not commuting,529796,1051.4,5566.29
199,M,57.5,working,education,not commuting,529796,1051.4,5566.29
200,M,8,student,undef,not commuting,529796,1051.59,5566.61
201,M,22.5,at home,undef,not commuting,529796,1051.59,5566.61
202,M,47.5,at home,undef,not commuting,529796,1051.35,5566.64
203,M,52.5,working,banks,not commuting,529796,1051.35,5566.64
204,F,62.5,working,construction,not commuting,529796,1051.29,5565.85
205,F,62.5,retired,undef,not commuting,529796,1051.29,5565.85
206,F,32.5,at home,undef,not commuting,529796,1052.32,5566.63
207,M,62.5,retired,undef,not commuting,529796,1052.32,5566.63
208,M,47.5,working,tradeandmoto,not commuting,529796,1051.69,5566.62
209,F,32.5,at home,undef,not commuting,529796,1051.69,5566.62
210,M,47.5,working,industry,not commuting,529796,1051.92,5566.42
211,M,42.5,working,transportation,45 to 60 mins,529796,1051.92,5566.42
212,M,72.5,retired,undef,not commuting,529796,1051.4,5566.46
213,F,57.5,at home,undef,not commuting,529796,1051.4,5566.46
214,F,47.5,working,it,15 to 30 min,529796,1051.28,5566.1
215,M,42.5,working,adminetc,not commuting,529796,1051.28,5566.1
216,F,72.5,retired,undef,not commuting,529796,1052.14,5566.78
217,F,57.5,working,publicsector,45 to 60 mins,529796,1052.14,5566.78
218,M,62.5,retired,undef,not commuting,529796,1052.18,5566.54
219,M,57.5,working,publicsector,45 to 60 mins,529796,1052.18,5566.54
220,M,62.5,retired,undef,not commuting,529796,1051.61,5566.51
221,F,82.5,working,industry,not commuting,529796,1051.61,5566.51
222,M,27.5,working,industry,not commuting,529796,1051.39,5566.45
223,F,37.5,at home,undef,not commuting,529796,1051.39,5566.45
224,F,57.5,working,construction,30 to 45 mins,529796,1052.01,5565.87
225,F,22.5,at home,undef,not commuting,529796,1052.01,5565.87
226,M,19,student,undef,not commuting,529796,1052,5566.12
227,F,27.5,at home,undef,not commuting,529796,1052,5566.12
228,M,72.5,retired,undef,not commuting,529796,1051.19,5565.66
229,F,57.5,working,banks,30 to 45 mins,529796,1051.19,5565.66
230,F,37.5,working,construction,30 to 45 mins,529796,1051.32,5566.27
231,F,62.5,working,transportation,not commuting,529796,1051.32,5566.27
232,M,27.5,at home,undef,not commuting,529796,1051.3,5565.99
233,F,19,student,undef,not commuting,529796,1051.3,5565.99
234,M,52.5,working,industry,not commuting,529796,1051.82,5565.8
235,F,47.5,working,health,less than 15min,529796,1051.82,5565.8
236,F,32.5,working,industry,not commuting,529796,1051.28,5566.31
237,F,52.5,working,eatinghousing,15 to 30 min,529796,1051.28,5566.31
238,F,16.5,student,undef,not commuting,529796,1051.73,5566.2
239,M,3.5,at home,undef,not commuting,529796,1051.73,5566.2
240,M,32.5,working,industry,45 to 60 mins,529796,1052.04,5566.11
241,F,52.5,working,publicsector,not commuting,529796,1052.04,5566.11
242,M,37.5,working,tradeandmoto,not commuting,529796,1051.16,5566.41
243,F,52.5,working,adminetc,not commuting,529796,1051.16,5566.41
244,F,37.5,working,industry,not commuting,529796,1051.97,5566.5
245,F,37.5,working,industry,not commuting,529796,1051.97,5566.5
246,F,32.5,at home,undef,not commuting,529796,1051.75,5566.03
247,F,52.5,working,industry,30 to 45 mins,529796,1051.75,5566.03
248,M,19,student,undef,45 to 60 mins,529796,1051.12,5565.95
249,M,1.5,at home,undef,not commuting,529796,1051.12,5565.95
250,M,52.5,at home,undef,not commuting,529796,1051.87,5565.99
251,F,42.5,working,tradeandmoto,not commuting,529796,1051.87,5565.99
252,F,62.5,retired,undef,not commuting,529796,1052.19,5566.37
253,F,52.5,working,industry,not commuting,529796,1052.19,5566.37
254,M,27.5,working,industry,not commuting,529796,1051.5,5565.92
255,M,37.5,working,tradeandmoto,not commuting,529796,1051.5,5565.92
256,F,77.5,retired,undef,not commuting,529796,1051.5,5565.92
257,F,32.5,working,construction,not commuting,529796,1052.25,5566.59
258,M,82.5,retired,undef,not commuting,529796,1052.25,5566.59
259,F,62.5,retired,undef,not commuting,529796,1052.25,5566.59
260,F,52.5,working,industry,45 to 60 mins,529796,1051.33,5565.89
261,M,47.5,working,banks,not commuting,529796,1051.33,5565.89
262,M,37.5,working,tradeandmoto,not commuting,529796,1051.33,5565.89
263,F,67.5,retired,undef,not commuting,529796,1051.49,5566.43
264,M,52.5,working,industry,not commuting,529796,1051.49,5566.43
265,F,3.5,at home,undef,not commuting,529796,1051.49,5566.43
266,F,77.5,retired,undef,not commuting,529796,1051.77,5566.37
267,M,32.5,working,education,not commuting,529796,1051.77,5566.37
268,M,32.5,working,publicsector,not commuting,529796,1051.77,5566.37
269,F,42.5,working,transportation,not commuting,529796,1051.19,5565.74
270,M,42.5,working,health,not commuting,529796,1051.19,5565.74
271,F,3.5,at home,undef,not commuting,529796,1051.19,5565.74
272,M,52.5,at home,undef,not commuting,529796,1051.84,5566.53
273,M,19,working,adminetc,not commuting,529796,1051.84,5566.53
274,M,27.5,working,industry,15 to 30 min,529796,1051.84,5566.53
275,F,88,retired,undef,not commuting,529796,1051.81,5566.34
276,M,57.5,working,health,not commuting,529796,1051.81,5566.34
277,F,27.5,at home,undef,not commuting,529796,1051.81,5566.34
278,M,32.5,working,industry,not commuting,529796,1051.53,5566.7
279,M,22.5,working,tradeandmoto,not commuting,529796,1051.53,5566.7
280,F,12.5,student,undef,not commuting,529796,1051.53,5566.7
281,F,22.5,working,tradeandmoto,45 to 60 mins,529796,1051.32,5565.8
282,F,67.5,retired,undef,not commuting,529796,1051.32,5565.8
283,F,52.5,working,publicsector,not commuting,529796,1051.32,5565.8
284,M,32.5,working,banks,not commuting,529796,1051.91,5566.08
285,M,22.5,working,industry,15 to 30 min,529796,1051.91,5566.08
286,M,47.5,working,transportation,not commuting,529796,1051.91,5566.08
287,F,52.5,working,construction,not commuting,529796,1051.23,5565.79
288,F,32.5,working,industry,not commuting,529796,1051.23,5565.79
289,F,57.5,working,industry,less than 15min,529796,1051.23,5565.79
290,M,37.5,working,publicsector,not commuting,529796,1052.04,5565.62
291,F,67.5,retired,undef,not commuting,529796,1052.04,5565.62
292,M,52.5,working,industry,60 to 90 mins,529796,1052.04,5565.62
293,F,47.5,working,industry,not commuting,529796,1051.89,5566.78
294,M,57.5,working,adminetc,30 to 45 mins,529796,1051.89,5566.78
295,M,62.5,retired,undef,not commuting,529796,1051.89,5566.78
296,F,47.5,working,industry,not commuting,529796,1051.87,5566.19
297,M,47.5,working,adminetc,15 to 30 min,529796,1051.87,5566.19
298,M,12.5,student,undef,not commuting,529796,1051.87,5566.19
299,F,16.5,working,transportation,not commuting,529796,1051.95,5566.85
300,M,37.5,working,industry,30 to 45 mins,529796,1051.95,5566.85
301,M,72.5,retired,undef,not commuting,529796,1051.95,5566.85
302,F,1.5,at home,undef,not commuting,529796,1051.5,5566.74
303,M,27.5,at home,undef,not commuting,529796,1051.5,5566.74
304,F,1.5,at home,undef,not commuting,529796,1051.5,5566.74
305,F,62.5,working,education,not commuting,529796,1051.7,5565.95
306,M,47.5,working,health,not commuting,529796,1051.7,5565.95
307,F,16.5,student,undef,less than 15min,529796,1051.7,5565.95
308,M,19,student,undef,30 to 45 mins,529796,1051.76,5565.66
309,F,52.5,working,industry,15 to 30 min,529796,1051.76,5565.66
310,F,32.5,at home,undef,not commuting,529796,1051.76,5565.66
311,M,57.5,working,construction,not commuting,529796,1052.25,5565.68
312,M,77.5,retired,undef,not commuting,529796,1052.25,5565.68
313,F,52.5,working,industry,not commuting,529796,1052.25,5565.68
314,M,52.5,at home,undef,not commuting,529796,1052.3,5566.35
315,M,37.5,working,industry,not commuting,529796,1052.3,5566.35
316,F,16.5,working,construction,45 to 60 mins,529796,1052.3,5566.35
317,M,37.5,working,banks,15 to 30 min,529796,1051.53,5565.77
318,M,42.5,at home,undef,not commuting,529796,1051.53,5565.77
319,M,32.5,working,industry,not commuting,529796,1051.53,5565.77
320,M,27.5,working,publicsector,45 to 60 mins,529796,1051.53,5566.05
321,F,57.5,at home,undef,not commuting,529796,1051.53,5566.05
322,F,72.5,retired,undef,not commuting,529796,1051.53,5566.05
323,M,52.5,working,education,30 to 45 mins,529796,1051.55,5565.62
324,F,67.5,retired,undef,not commuting,529796,1051.55,5565.62
325,M,27.5,working,it,30 to 45 mins,529796,1051.55,5565.62
326,M,57.5,working,construction,not commuting,529796,1051.85,5566.26
327,M,32.5,working,eatinghousing,not commuting,529796,1051.85,5566.26
328,F,47.5,working,adminetc,not commuting,529796,1051.85,5566.26
329,M,52.5,working,publicsector,not commuting,529796,1052.16,5566.52
330,M,32.5,working,industry,not commuting,529796,1052.16,5566.52
